ex_0 ex_2 ex_6 ex_7 ex_8 msn_4 msn_5 3.cache 5.cache 6.cache
Miss Miss Miss Miss Miss Miss Miss Miss Miss Miss
305386 0 0 0 0 1422665 1286395 4171146 15424224 30790900
199359 0 0 0 0 1166337 986986 636913 5571647 25486030
114633 0 0 0 0 973080 784807 636913 5571647 25486030
53624 0 0 0 0 783127 600111 554254 5128144 2570889
21459 0 0 0 0 584457 387001 554254 5128144 2570889
13654 0 2 4 0 361158 154986 495024 3666969 1160859
11618 10 0 0 3 156720 25146 495024 3666969 1160859
10439 2 3 1 6 37353 8705 449296 548679 833568
9302 8 1 26 9 1797 4114 449296 548679 833568
7970 41 2 22 23 0 10 410646 435988 631026
6532 18 5 16 3 0 0 410646 435988 631026
5098 46 33 2 24 0 0 376690 342540 467961
3351 24 32 23 21 0 0 376690 342540 467961
1214 73 27 28 25 0 0 345998 262865 336792
1 56 43 25 10 0 0 345998 262865 336792
0 46 64 24 64 0 0 318594 196284 233944
0 82 48 181 85 0 0 318594 196284 233944
0 62 57 45 39 0 0 292176 140105 157531
0 176 163 73 28 0 0 292176 140105 157531
0 146 56 38 46 0 0 268606 96786 105072
0 141 117 70 94 0 0 268606 96786 105072
0 196 88 182 83 0 0 246459 62486 68957
0 140 136 160 127 0 0 246459 62486 68957
